user_id,month,jar,percent,income,spending_percent
0,1,NEC,50,13700000,109.9
0,1,FFA,20,13700000,97.2
0,1,EDU,5,13700000,113.0
0,1,LTSS,5,13700000,130.5
0,1,PLAY,15,13700000,95.3
0,1,HEALTH,5,13700000,95.3
0,2,NEC,50,13700000,131.6
0,2,FFA,20,13700000,115.3
0,2,EDU,5,13700000,90.6
0,2,LTSS,5,13700000,110.9
0,2,PLAY,15,13700000,90.7
0,2,HEALTH,5,13700000,90.7
0,3,NEC,50,13700000,104.8
0,3,FFA,20,13700000,61.7
0,3,EDU,5,13700000,65.5
0,3,LTSS,5,13700000,88.8
0,3,PLAY,15,13700000,79.7
0,3,HEALTH,5,13700000,106.3
0,4,NEC,50,13700000,81.8
0,4,FFA,20,13700000,71.8
0,4,EDU,5,13700000,129.3
0,4,LTSS,5,13700000,95.5
0,4,PLAY,15,13700000,101.4
0,4,HEALTH,5,13700000,71.5
0,5,NEC,45,13700000,89.1
0,5,FFA,10,13700000,102.2
0,5,EDU,5,13700000,77.0
0,5,LTSS,20,13700000,107.5
0,5,PLAY,10,13700000,88.0
0,5,GIVE,10,13700000,94.2
0,6,NEC,45,13700000,88.0
0,6,FFA,10,13700000,137.0
0,6,EDU,5,13700000,99.7
0,6,LTSS,20,13700000,78.8
0,6,PLAY,10,13700000,116.5
0,6,GIVE,10,13700000,75.6
0,7,NEC,45,13700000,104.2
0,7,FFA,10,13700000,60.8
0,7,EDU,5,13700000,73.4
0,7,LTSS,20,13700000,103.9
0,7,PLAY,10,13700000,114.8
0,7,GIVE,10,13700000,103.4
0,8,NEC,45,13700000,97.7
0,8,FFA,10,13700000,94.0
0,8,EDU,5,13700000,70.4
0,8,LTSS,20,13700000,85.6
0,8,PLAY,10,13700000,90.8
0,8,GIVE,10,13700000,121.1
0,9,NEC,45,13700000,106.9
0,9,FFA,10,13700000,64.7
0,9,EDU,15,13700000,106.5
0,9,LTSS,5,13700000,92.3
0,9,PLAY,15,13700000,86.5
0,9,GIVE,10,13700000,112.2
0,10,NEC,45,13700000,120.6
0,10,FFA,10,13700000,118.6
0,10,EDU,15,13700000,83.2
0,10,LTSS,5,13700000,93.8
0,10,PLAY,15,13700000,106.6
0,10,GIVE,10,13700000,119.5
0,11,NEC,45,13700000,90.4
0,11,FFA,10,13700000,96.3
0,11,EDU,15,13700000,77.9
0,11,LTSS,5,13700000,76.1
0,11,PLAY,15,13700000,116.3
0,11,GIVE,10,13700000,127.1
0,12,NEC,45,13700000,98.6
0,12,FFA,10,13700000,120.1
0,12,EDU,15,13700000,107.2
0,12,LTSS,5,13700000,87.1
0,12,PLAY,15,13700000,107.2
0,12,GIVE,10,13700000,130.8
1,1,NEC,55,19400000,99.3
1,1,FFA,15,19400000,131.3
1,1,EDU,5,19400000,47.6
1,1,LTSS,5,19400000,116.4
1,1,PLAY,5,19400000,101.7
1,1,FAMILY,15,19400000,94.0
1,2,NEC,55,19400000,101.8
1,2,FFA,15,19400000,60.2
1,2,EDU,5,19400000,95.6
1,2,LTSS,5,19400000,107.1
1,2,PLAY,5,19400000,129.6
1,2,FAMILY,15,19400000,89.6
1,3,NEC,55,19400000,83.8
1,3,FFA,15,19400000,90.0
1,3,EDU,5,19400000,118.3
1,3,LTSS,5,19400000,106.6
1,3,PLAY,5,19400000,89.4
1,3,FAMILY,15,19400000,110.3
1,4,NEC,55,19400000,101.9
1,4,FFA,15,19400000,119.4
1,4,EDU,5,19400000,86.0
1,4,LTSS,5,19400000,93.4
1,4,PLAY,5,19400000,92.2
1,4,FAMILY,15,19400000,70.7
1,5,NEC,45,19400000,105.9
1,5,FFA,10,19400000,105.2
1,5,EDU,10,19400000,100.1
1,5,LTSS,15,19400000,95.3
1,5,PLAY,15,19400000,71.7
1,5,FAMILY,5,19400000,91.6
1,6,NEC,45,19400000,93.1
1,6,FFA,10,19400000,84.0
1,6,EDU,10,19400000,96.8
1,6,LTSS,15,19400000,108.1
