user_id,month,jar,percent
0,1,NEC,50
0,1,FFA,20
0,1,EDU,5
0,1,LTSS,5
0,1,PLAY,15
0,1,HEALTH,5
0,2,NEC,50
0,2,FFA,20
0,2,EDU,5
0,2,LTSS,5
0,2,PLAY,15
0,2,HEALTH,5
0,3,NEC,50
0,3,FFA,20
0,3,EDU,5
0,3,LTSS,5
0,3,PLAY,15
0,3,HEALTH,5
0,4,NEC,50
0,4,FFA,20
0,4,EDU,5
0,4,LTSS,5
0,4,PLAY,15
0,4,HEALTH,5
0,5,NEC,45
0,5,FFA,10
0,5,EDU,5
0,5,LTSS,20
0,5,PLAY,10
0,5,GIVE,10
0,6,NEC,45
0,6,FFA,10
0,6,EDU,5
0,6,LTSS,20
0,6,PLAY,10
0,6,GIVE,10
0,7,NEC,45
0,7,FFA,10
0,7,EDU,5
0,7,LTSS,20
0,7,PLAY,10
0,7,GIVE,10
0,8,NEC,45
0,8,FFA,10
0,8,EDU,5
0,8,LTSS,20
0,8,PLAY,10
0,8,GIVE,10
0,9,NEC,45
0,9,FFA,10
0,9,EDU,15
0,9,LTSS,5
0,9,PLAY,15
0,9,GIVE,10
0,10,NEC,45
0,10,FFA,10
0,10,EDU,15
0,10,LTSS,5
0,10,PLAY,15
0,10,GIVE,10
0,11,NEC,45
0,11,FFA,10
0,11,EDU,15
0,11,LTSS,5
0,11,PLAY,15
0,11,GIVE,10
0,12,NEC,45
0,12,FFA,10
0,12,EDU,15
0,12,LTSS,5
0,12,PLAY,15
0,12,GIVE,10
1,1,NEC,55
1,1,FFA,15
1,1,EDU,5
1,1,LTSS,5
1,1,PLAY,5
1,1,FAMILY,15
1,2,NEC,55
1,2,FFA,15
1,2,EDU,5
1,2,LTSS,5
1,2,PLAY,5
1,2,FAMILY,15
1,3,NEC,55
1,3,FFA,15
1,3,EDU,5
1,3,LTSS,5
1,3,PLAY,5
1,3,FAMILY,15
1,4,NEC,55
1,4,FFA,15
1,4,EDU,5
1,4,LTSS,5
1,4,PLAY,5
1,4,FAMILY,15
1,5,NEC,45
1,5,FFA,10
1,5,EDU,10
1,5,LTSS,15
1,5,PLAY,15
1,5,FAMILY,5
1,6,NEC,45
1,6,FFA,10
1,6,EDU,10
1,6,LTSS,15
1,6,PLAY,15
1,6,FAMILY,5
1,7,NEC,45
1,7,FFA,10
1,7,EDU,10
1,7,LTSS,15
1,7,PLAY,15
1,7,FAMILY,5
1,8,NEC,45
1,8,FFA,10
1,8,EDU,10
1,8,LTSS,15
1,8,PLAY,15
1,8,FAMILY,5
1,9,NEC,45
1,9,FFA,15
1,9,EDU,5
1,9,LTSS,20
1,9,PLAY,10
1,9,FAMILY,5
1,10,NEC,45
1,10,FFA,15
1,10,EDU,5
1,10,LTSS,20
1,10,PLAY,10
1,10,FAMILY,5
1,11,NEC,45
1,11,FFA,15
1,11,EDU,5
1,11,LTSS,20
1,11,PLAY,10
1,11,FAMILY,5
1,12,NEC,45
1,12,FFA,15
1,12,EDU,5
1,12,LTSS,20
1,12,PLAY,10
1,12,FAMILY,5
2,1,NEC,45
2,1,FFA,10
2,1,EDU,5
2,1,LTSS,15
2,1,PLAY,10
2,1,GIVE,5
2,1,FAMILY,5
2,1,EMERGENCY,5
2,2,NEC,45
2,2,FFA,10
2,2,EDU,5
2,2,LTSS,15
2,2,PLAY,10
2,2,GIVE,5
2,2,FAMILY,5
2,2,EMERGENCY,5
2,3,NEC,45
2,3,FFA,10
2,3,EDU,5
2,3,LTSS,15
2,3,PLAY,10
2,3,GIVE,5
2,3,FAMILY,5
2,3,EMERGENCY,5
2,4,NEC,45
2,4,FFA,10
2,4,EDU,5
2,4,LTSS,15
2,4,PLAY,10
2,4,GIVE,5
2,4,FAMILY,5
2,4,EMERGENCY,5
2,5,NEC,45
2,5,FFA,20
2,5,EDU,10
2,5,LTSS,5
2,5,PLAY,5
2,5,GIVE,5
2,5,FAMILY,5
2,5,EMERGENCY,5
2,6,NEC,45
2,6,FFA,20
2,6,EDU,10
2,6,LTSS,5
2,6,PLAY,5
2,6,GIVE,5
2,6,FAMILY,5
2,6,EMERGENCY,5
2,7,NEC,45
2,7,FFA,20
2,7,EDU,10
2,7,LTSS,5
2,7,PLAY,5
2,7,GIVE,5
2,7,FAMILY,5
2,7,EMERGENCY,5
2,8,NEC,45
2,8,FFA,20
2,8,EDU,10
2,8,LTSS,5
2,8,PLAY,5
2,8,GIVE,5
2,8,FAMILY,5
2,8,EMERGENCY,5
2,9,NEC,45
2,9,FFA,10
2,9,EDU,5
2,9,LTSS,15
2,9,PLAY,10
2,9,EMERGENCY,5
2,9,HEALTH,5
2,9,DREAM,5
2,10,NEC,45
2,10,FFA,10
2,10,EDU,5
2,10,LTSS,15
2,10,PLAY,10
2,10,EMERGENCY,5
2,10,HEALTH,5
2,10,DREAM,5
2,11,NEC,45
2,11,FFA,10
2,11,EDU,5
2,11,LTSS,15
2,11,PLAY,10
2,11,EMERGENCY,5
2,11,HEALTH,5
2,11,DREAM,5
2,12,NEC,45
2,12,FFA,10
2,12,EDU,5
2,12,LTSS,15
2,12,PLAY,10
2,12,EMERGENCY,5
2,12,HEALTH,5
2,12,DREAM,5
3,1,NEC,45
3,1,FFA,15
3,1,EDU,5
3,1,LTSS,5
3,1,PLAY,10
3,1,GIVE,5
3,1,HEALTH,5
3,1,EMERGENCY,5
3,1,DREAM,5
3,2,NEC,45
3,2,FFA,15
3,2,EDU,5
3,2,LTSS,5
3,2,PLAY,10
3,2,GIVE,5
3,2,HEALTH,5
3,2,EMERGENCY,5
3,2,DREAM,5
3,3,NEC,45
3,3,FFA,15
3,3,EDU,5
3,3,LTSS,5
3,3,PLAY,10
3,3,GIVE,5
3,3,HEALTH,5
3,3,EMERGENCY,5
3,3,DREAM,5
3,4,NEC,45
3,4,FFA,15
3,4,EDU,5
3,4,LTSS,5
3,4,PLAY,10
3,4,GIVE,5
3,4,HEALTH,5
3,4,EMERGENCY,5
3,4,DREAM,5
3,5,NEC,45
3,5,FFA,10
3,5,EDU,10
3,5,LTSS,5
3,5,PLAY,5
3,5,GIVE,5
3,5,HEALTH,5
3,5,EMERGENCY,10
3,5,DREAM,5
3,6,NEC,45
3,6,FFA,10
3,6,EDU,10
3,6,LTSS,5
3,6,PLAY,5
3,6,GIVE,5
3,6,HEALTH,5
3,6,EMERGENCY,10
3,6,DREAM,5
3,7,NEC,45
3,7,FFA,10
3,7,EDU,10
3,7,LTSS,5
3,7,PLAY,5
3,7,GIVE,5
3,7,HEALTH,5
3,7,EMERGENCY,10
3,7,DREAM,5
3,8,NEC,45
3,8,FFA,10
3,8,EDU,10
3,8,LTSS,5
3,8,PLAY,5
3,8,GIVE,5
3,8,HEALTH,5
3,8,EMERGENCY,10
3,8,DREAM,5
3,9,NEC,45
3,9,FFA,10
3,9,EDU,5
3,9,LTSS,15
3,9,PLAY,5
3,9,GIVE,5
3,9,HEALTH,5
3,9,EMERGENCY,5
3,9,DREAM,5
3,10,NEC,45
3,10,FFA,10
3,10,EDU,5
3,10,LTSS,15
3,10,PLAY,5
3,10,GIVE,5
3,10,HEALTH,5
3,10,EMERGENCY,5
3,10,DREAM,5
3,11,NEC,45
3,11,FFA,10
3,11,EDU,5
3,11,LTSS,15
3,11,PLAY,5
3,11,GIVE,5
3,11,HEALTH,5
3,11,EMERGENCY,5
3,11,DREAM,5
3,12,NEC,45
3,12,FFA,10
3,12,EDU,5
3,12,LTSS,15
3,12,PLAY,5
3,12,GIVE,5
3,12,HEALTH,5
3,12,EMERGENCY,5
3,12,DREAM,5
4,1,NEC,60
4,1,FFA,5
4,1,EDU,15
4,1,LTSS,10
4,1,PLAY,5
4,1,DREAM,5
4,2,NEC,60
4,2,FFA,5
4,2,EDU,15
4,2,LTSS,10
4,2,PLAY,5
4,2,DREAM,5
4,3,NEC,60
4,3,FFA,5
4,3,EDU,15
4,3,LTSS,10
4,3,PLAY,5
4,3,DREAM,5
4,4,NEC,60
4,4,FFA,5
4,4,EDU,15
4,4,LTSS,10
4,4,PLAY,5
4,4,DREAM,5
4,5,NEC,50
4,5,FFA,10
4,5,EDU,10
4,5,LTSS,20
4,5,PLAY,5
4,5,DREAM,5
4,6,NEC,50
4,6,FFA,10
4,6,EDU,10
4,6,LTSS,20
4,6,PLAY,5
4,6,DREAM,5
4,7,NEC,50
4,7,FFA,10
4,7,EDU,10
4,7,LTSS,20
4,7,PLAY,5
4,7,DREAM,5
4,8,NEC,50
4,8,FFA,10
4,8,EDU,10
4,8,LTSS,20
4,8,PLAY,5
4,8,DREAM,5
4,9,NEC,45
4,9,FFA,20
4,9,EDU,10
4,9,LTSS,10
4,9,PLAY,10
4,9,DREAM,5
4,10,NEC,45
4,10,FFA,20
4,10,EDU,10
4,10,LTSS,10
4,10,PLAY,10
4,10,DREAM,5
4,11,NEC,45
4,11,FFA,20
4,11,EDU,10
4,11,LTSS,10
4,11,PLAY,10
4,11,DREAM,5
4,12,NEC,45
4,12,FFA,20
4,12,EDU,10
4,12,LTSS,10
4,12,PLAY,10
4,12,DREAM,5
5,1,NEC,50
5,1,FFA,20
5,1,EDU,15
5,1,LTSS,5
5,1,PLAY,5
5,1,GIVE,5
5,2,NEC,50
5,2,FFA,20
5,2,EDU,15
5,2,LTSS,5
5,2,PLAY,5
5,2,GIVE,5
5,3,NEC,50
5,3,FFA,20
5,3,EDU,15
5,3,LTSS,5
5,3,PLAY,5
5,3,GIVE,5
5,4,NEC,50
5,4,FFA,20
5,4,EDU,15
5,4,LTSS,5
5,4,PLAY,5
5,4,GIVE,5
5,5,NEC,45
5,5,FFA,5
5,5,EDU,10
5,5,LTSS,15
5,5,PLAY,15
5,5,GIVE,10
5,6,NEC,45
5,6,FFA,5
5,6,EDU,10
5,6,LTSS,15
5,6,PLAY,15
5,6,GIVE,10
5,7,NEC,45
5,7,FFA,5
5,7,EDU,10
5,7,LTSS,15
5,7,PLAY,15
5,7,GIVE,10
5,8,NEC,45
5,8,FFA,5
5,8,EDU,10
5,8,LTSS,15
5,8,PLAY,15
5,8,GIVE,10
5,9,NEC,45
5,9,FFA,10
5,9,EDU,15
5,9,LTSS,5
5,9,PLAY,15
5,9,GIVE,10
5,10,NEC,45
5,10,FFA,10
5,10,EDU,15
5,10,LTSS,5
5,10,PLAY,15
5,10,GIVE,10
5,11,NEC,45
5,11,FFA,10
5,11,EDU,15
5,11,LTSS,5
5,11,PLAY,15
5,11,GIVE,10
5,12,NEC,45
5,12,FFA,10
5,12,EDU,15
5,12,LTSS,5
5,12,PLAY,15
5,12,GIVE,10
6,1,NEC,45
6,1,FFA,5
6,1,EDU,5
6,1,LTSS,10
6,1,PLAY,10
6,1,GIVE,5
6,1,DREAM,10
6,1,HEALTH,10
6,2,NEC,45
6,2,FFA,5
6,2,EDU,5
6,2,LTSS,10
6,2,PLAY,10
6,2,GIVE,5
6,2,DREAM,10
6,2,HEALTH,10
6,3,NEC,45
6,3,FFA,5
6,3,EDU,5
6,3,LTSS,10
6,3,PLAY,10
6,3,GIVE,5
6,3,DREAM,10
6,3,HEALTH,10
6,4,NEC,45
6,4,FFA,5
6,4,EDU,5
6,4,LTSS,10
6,4,PLAY,10
6,4,GIVE,5
6,4,DREAM,10
6,4,HEALTH,10
6,5,NEC,45
6,5,FFA,15
6,5,EDU,10
6,5,LTSS,5
6,5,PLAY,10
6,5,GIVE,5
6,5,DREAM,5
6,5,HEALTH,5
6,6,NEC,45
6,6,FFA,15
6,6,EDU,10
6,6,LTSS,5
6,6,PLAY,10
6,6,GIVE,5
6,6,DREAM,5
6,6,HEALTH,5
6,7,NEC,45
6,7,FFA,15
6,7,EDU,10
6,7,LTSS,5
6,7,PLAY,10
6,7,GIVE,5
6,7,DREAM,5
6,7,HEALTH,5
6,8,NEC,45
6,8,FFA,15
6,8,EDU,10
6,8,LTSS,5
6,8,PLAY,10
6,8,GIVE,5
6,8,DREAM,5
6,8,HEALTH,5
6,9,NEC,45
6,9,FFA,5
6,9,EDU,10
6,9,LTSS,5
6,9,PLAY,15
6,9,GIVE,10
6,9,DREAM,5
6,9,HEALTH,5
6,10,NEC,45
6,10,FFA,5
6,10,EDU,10
6,10,LTSS,5
6,10,PLAY,15
6,10,GIVE,10
6,10,DREAM,5
6,10,HEALTH,5
6,11,NEC,45
6,11,FFA,5
6,11,EDU,10
6,11,LTSS,5
6,11,PLAY,15
6,11,GIVE,10
6,11,DREAM,5
6,11,HEALTH,5
6,12,NEC,45
6,12,FFA,5
6,12,EDU,10
6,12,LTSS,5
6,12,PLAY,15
6,12,GIVE,10
6,12,DREAM,5
6,12,HEALTH,5
7,1,NEC,45
7,1,FFA,5
7,1,EDU,10
7,1,LTSS,15
7,1,PLAY,5
7,1,EMERGENCY,15
7,1,GIVE,5
7,2,NEC,45
7,2,FFA,5
7,2,EDU,10
7,2,LTSS,15
7,2,PLAY,5
7,2,EMERGENCY,15
